date,symbol,open,high,low,close,volume
2023-01-03,000300.SH,4000.0,4050.580818032491,3972.7225056135444,4012.3401354817834,4177151
2023-01-04,000300.SH,4012.3401354817834,4036.204170159893,3987.485885013981,4009.4138566815145,4834963
2023-01-05,000300.SH,4009.4138566815145,4051.602959267523,3993.741500558351,4025.4278021038863,2903696
2023-01-06,000300.SH,4025.4278021038863,4082.1275424090354,3989.8695674752425,4062.7877283911575,2193373
2023-01-09,000300.SH,4062.7877283911575,4076.1360269436796,4040.333578877207,4057.4895720072604,2472280
2023-01-10,000300.SH,4057.4895720072604,4072.18706996577,4018.736904129696,4052.198723954455,3016623
2023-01-11,000300.SH,4052.198723954455,4119.36988283059,4033.267736389033,4091.18600789985,2806871
2023-01-12,000300.SH,4091.18600789985,4141.913907767305,4074.48999202942,4110.4787827465725,970123
2023-01-13,000300.SH,4110.4787827465725,4143.444826346914,4079.2583200530144,4099.326400124973,3086249
2023-01-16,000300.SH,4099.326400124973,4146.014697269793,4085.5399973031513,4113.104218873298,1959582
2023-01-17,000300.SH,4113.104218873298,4118.724602951482,4070.908478169729,4102.093781056522,4544499
2023-01-18,000300.SH,4102.093781056522,4123.412333289961,4069.472291864074,4091.056064251049,2229885
2023-01-19,000300.SH,4091.056064251049,4101.698587177044,4079.985582249497,4097.409385351106,4820642
2023-01-20,000300.SH,4097.409385351106,4120.848715643352,4014.400871601973,4051.0464696294957,2307148
2023-01-23,000300.SH,4051.0464696294957,4070.064268363123,3993.109054764686,4009.7373014407463,4852525
2023-01-24,000300.SH,4009.7373014407463,4045.557045546851,3973.9960536635895,3996.63198679378,649239
2023-01-25,000300.SH,3996.63198679378,4011.9538453433893,3936.61716874388,3972.8154170391813,656701
2023-01-26,000300.SH,3972.8154170391813,3987.1286648286887,3947.2691771570085,3980.7112143628165,3147569
2023-01-27,000300.SH,3980.7112143628165,3988.1090515969267,3953.1017592530093,3959.4786238518072,4728120
2023-01-30,000300.SH,3959.4786238518072,3990.1026213108844,3889.4408221992767,3926.4610882404404,1370464
2023-01-31,000300.SH,3926.4610882404404,3986.7855347300815,3901.083480867299,3961.538367064671,885332
2023-02-01,000300.SH,3961.538367064671,3967.3248491799905,3942.0045833910517,3956.571108797149,867950
2023-02-02,000300.SH,3956.571108797149,3963.7125926176495,3949.3579445826094,3958.5703517056936,266472
2023-02-03,000300.SH,3958.5703517056936,3986.910575283469,3893.6954273944616,3925.2672915291087,497710
2023-02-06,000300.SH,3925.2672915291087,3929.943260539563,3887.852517952052,3912.858387543081,4417048
2023-02-07,000300.SH,3912.858387543081,3948.386599577969,3891.0720601217186,3915.8549665424352,3288729
2023-02-08,000300.SH,3915.8549665424352,3944.085544287238,3854.321841779008,3889.294296514353,4885956
2023-02-09,000300.SH,3889.294296514353,3903.4232267269695,3858.2123263254,3898.4612129929346,2950171
2023-02-10,000300.SH,3898.4612129929346,3903.552440708152,3877.2854597123437,3884.8255617669324,1010775
2023-02-13,000300.SH,3884.8255617669324,3923.1807397685334,3864.9956473107736,3878.42025466296,2696874
2023-02-14,000300.SH,3878.42025466296,3894.1494694226903,3853.774023106735,3864.8299366065658,658924
2023-02-15,000300.SH,3864.8299366065658,3924.128885809385,3835.58287556202,3908.4127656851188,3981185
2023-02-16,000300.SH,3908.4127656851188,3940.6210927175543,3905.213502640411,3908.4870913155946,4473656
2023-02-17,000300.SH,3908.4870913155946,3945.613268812485,3861.179055794829,3884.149730888499,4112595
2023-02-20,000300.SH,3884.149730888499,3942.2752011845555,3854.0733708822386,3903.7567934509702,2390435
2023-02-21,000300.SH,3903.7567934509702,3933.648221330748,3841.4343496278993,3875.6535550474846,531413
2023-02-22,000300.SH,3875.6535550474846,3896.71416969712,3861.1207199874484,3880.901567966368,1452564
2023-02-23,000300.SH,3880.901567966368,3885.9205703427924,3804.0750408585836,3835.920640719104,2524050
2023-02-24,000300.SH,3835.920640719104,3866.158803048397,3799.9509050884717,3805.853790029678,4265100
2023-02-27,000300.SH,3805.853790029678,3832.853546572276,3773.3468633401803,3810.7328506719214,963561
2023-02-28,000300.SH,3810.7328506719214,3845.3791181927363,3804.212144527037,3828.03768986526,402186
2023-03-01,000300.SH,3828.03768986526,3867.2731515167616,3811.6757791616164,3832.358956258642,3307393
2023-03-02,000300.SH,3832.358956258642,3838.3235480754506,3799.158366315589,3830.0836334817996,3928464
2023-03-03,000300.SH,3830.0836334817996,3849.923231117714,3816.195362723923,3823.552702327508,1126553
2023-03-06,000300.SH,3823.552702327508,3825.8768856404236,3780.012834685437,3790.1624662372164,1335202
2023-03-07,000300.SH,3790.1624662372164,3808.9323972298785,3746.4217775432126,3774.2052095069503,245271
2023-03-08,000300.SH,3774.2052095069503,3778.1110632174154,3736.5344618346962,3764.1647375392286,2315685
2023-03-09,000300.SH,3764.1647375392286,3794.6651253314,3739.355494713455,3788.494538307317,3843797
2023-03-10,000300.SH,3788.494538307317,3802.8303738002373,3761.624602066724,3796.6930220193212,1614542
2023-03-13,000300.SH,3796.6930220193212,3822.007464657069,3735.8682406913563,3757.1180578825747,4280656
2023-03-14,000300.SH,3757.1180578825747,3793.3725563742787,3746.2521303374506,3764.8073578135545,3030184
2023-03-15,000300.SH,3764.8073578135545,3787.5543361744467,3742.2794705601673,3756.4944661155046,176898
2023-03-16,000300.SH,3756.4944661155046,3792.7094739595946,3733.3166093237405,3741.6424309033164,3395097
2023-03-17,000300.SH,3741.6424309033164,3771.028482241614,3707.480186604558,3755.775262941038,388316
2023-03-20,000300.SH,3755.775262941038,3791.6065938242687,3733.0820348314064,3779.4584136079743,2108954
2023-03-21,000300.SH,3779.4584136079743,3834.2813349738058,3763.176172434077,3801.0160145996097,1929553
2023-03-22,000300.SH,3801.0160145996097,3810.9904905555068,3763.811167616323,3782.3030557919287,4188657
2023-03-23,000300.SH,3782.3030557919287,3818.8046030859964,3739.8040875464358,3775.6698998200927,3141341
2023-03-24,000300.SH,3775.6698998200927,3785.8888062516294,3768.281524240197,3783.5601479101497,1139504
2023-03-27,000300.SH,3783.5601479101497,3843.124270703138,3760.5970274518136,3806.1518865627563,4187810
2023-03-28,000300.SH,3806.1518865627563,3809.615557718836,3775.4650260906637,3795.6042839821785,2205058
2023-03-29,000300.SH,3795.6042839821785,3829.6351390141085,3767.836168300989,3791.757666843175,1775843
2023-03-30,000300.SH,3791.757666843175,3812.662235575303,3764.516349652183,3767.047981991629,134701
2023-03-31,000300.SH,3767.047981991629,3804.4666932810196,3707.6210036308967,3740.4817988035147,3329028
2023-04-03,000300.SH,3740.4817988035147,3763.652622207986,3705.489128939474,3759.1376446624904,1821610
2023-04-04,000300.SH,3759.1376446624904,3812.069061589736,3737.0761483057167,3790.231205959977,2280712
2023-04-05,000300.SH,3790.231205959977,3827.028188388894,3762.0022266460196,3788.9728279613414,2439767
2023-04-06,000300.SH,3788.9728279613414,3833.0877698442823,3753.872753200987,3812.2370082157727,2714235
2023-04-07,000300.SH,3812.2370082157727,3845.6566206013285,3784.7173574056546,3820.8999132272693,591036
2023-04-10,000300.SH,3820.8999132272693,3848.0650311848913,3799.100137656436,3806.51950440799,427304
2023-04-11,000300.SH,3806.51950440799,3833.545907852022,3783.7765422659722,3815.1639135537075,2562616
2023-04-12,000300.SH,3815.1639135537075,3875.8029823149886,3791.266516764616,3850.9191064522224,2810241
2023-04-13,000300.SH,3850.9191064522224,3874.2209639110506,3833.0367074995197,3850.476444735615,3533803
2023-04-14,000300.SH,3850.476444735615,3922.4048623404506,3821.6124252829713,3887.18309206862,1242953
2023-04-17,000300.SH,3887.18309206862,3890.8049384266155,3791.0596126984055,3826.9428915946555,4061352
2023-04-18,000300.SH,3826.9428915946555,3858.4356834791915,3791.37949065791,3846.246350698669,4078702
2023-04-19,000300.SH,3846.246350698669,3885.3138929269494,3827.8498542966827,3848.6405470009013,4159175
2023-04-20,000300.SH,3848.6405470009013,3883.1147675883876,3836.0720249947353,3842.126299447676,426916
2023-04-21,000300.SH,3842.126299447676,3863.1913635671644,3804.258335720481,3844.6266642706373,3697706
2023-04-24,000300.SH,3844.6266642706373,3869.1986716512392,3767.2507304894716,3799.43012483432,4606554
2023-04-25,000300.SH,3799.43012483432,3811.341798912204,3788.4135441174844,3794.805117191333,705409
2023-04-26,000300.SH,3794.805117191333,3812.023962749901,3759.7107674940726,3803.3251836866216,1174135
2023-04-27,000300.SH,3803.3251836866216,3856.408232529156,3769.9927830550096,3837.584363738549,3089179
2023-04-28,000300.SH,3837.584363738549,3852.3853362794857,3805.280561268534,3826.05205071221,1825690
2023-05-01,000300.SH,3826.05205071221,3849.1795140423146,3784.624259154047,3807.9177360996823,3380772
2023-05-02,000300.SH,3807.9177360996823,3812.63376244441,3780.5602582418355,3796.8507438873016,4257893
2023-05-03,000300.SH,3796.8507438873016,3855.396461409364,3792.977061708928,3818.1437844712673,503119
2023-05-04,000300.SH,3818.1437844712673,3863.824563143874,3804.076315563791,3826.065118559079,4266769
2023-05-05,000300.SH,3826.065118559079,3853.35466683904,3783.305191757227,3814.3044550996824,4420295
2023-05-08,000300.SH,3814.3044550996824,3847.85275778031,3812.2294573852982,3826.4517366280206,502732
2023-05-09,000300.SH,3826.4517366280206,3842.2379906158217,3812.4153851552314,3829.0640484501146,606079
2023-05-10,000300.SH,3829.0640484501146,3883.4721279855507,3812.665688842339,3851.7680224538,2050013
2023-05-11,000300.SH,3851.7680224538,3878.74944999202,3814.4592985407385,3835.96084965521,2723836
2023-05-12,000300.SH,3835.96084965521,3843.8048561018063,3793.4367746278963,3828.8097247201226,1232658
2023-05-15,000300.SH,3828.8097247201226,3863.8579147762507,3805.7148346266295,3820.1944678511277,2085209
